feature,coef,std_err,t,p_value,p_fdr,sig_fdr_p01,p_bonf,sig_bonf_p01
const,35.90322129139072,0.730208016730114,49.1684841425955,0.0,0.0,True,0.0,True
danceability,9.95209746129009,0.47883782289553073,20.783858303234673,1.0207551609239246e-95,4.899624772434838e-95,True,2.449812386217419e-94,True
energy,-2.0065270617676267,0.5490353401564395,-3.6546409948691037,0.00025768914113850677,0.0005622308533931057,True,0.0061845393873241625,True
loudness,0.08753378864358727,0.023656942476197998,3.7001311023881382,0.00021561698960797596,0.0005622308533931057,True,0.005174807750591423,True
speechiness,-15.390813155724825,0.6717679054317869,-22.910908710103076,7.804955135275423e-116,4.682973081165254e-115,True,1.8731892324661016e-114,True
acousticness,-1.1554966558191637,0.3141478456021591,-3.678193793130448,0.00023502884448599445,0.0005622308533931057,True,0.005640692267663867,True
instrumentalness,-8.807857841196748,0.25472568440464993,-34.57781598185771,2.8619795650589586e-260,3.4343754780707506e-259,True,6.868750956141501e-259,True
liveness,0.5818788282927739,0.37533633260167426,1.5502864437861201,0.12107631309412399,0.1529385007504724,False,1.0,False
valence,-7.841082701676703,0.3271764045118438,-23.965917448649186,1.5826935320963697e-126,1.2661548256770958e-125,True,3.798464477031287e-125,True
tempo,0.00829098085897995,0.002378775596877353,3.485398483935861,0.0004916396302171207,0.0009832792604342413,True,0.011799351125210897,False
duration_ms,-3.5018557513026216e-06,6.218793984540694e-07,-5.6310849981650595,1.7961404050820055e-08,6.158195674566875e-08,True,4.3107369721968136e-07,True
explicit,3.8913317752536662,0.2595188559174795,14.994408639390013,9.206857041200857e-51,3.682742816480343e-50,True,2.209645689888206e-49,True
mode,-0.698202521183263,0.14682318470231373,-4.755396925893409,1.9836440602455414e-06,5.950932180736624e-06,True,4.7607457445892994e-05,True
key_1,0.13159792864254363,0.2983526574308358,0.44108180492091215,0.6591548400748755,0.7533198172284291,False,1.0,False
key_2,0.9703762613219303,0.28929381956368433,3.3542930947693974,0.0007960102695941653,0.0014695574207892284,True,0.019104246470259968,False
key_3,0.7844248181202023,0.4343862233841957,1.805823426003114,0.07094928121180487,0.09459904161573983,False,1.0,False
key_4,1.0101455410613573,0.3147140748980407,3.2097247045230457,0.0013290896270002225,0.00227843936057181,True,0.031898151048005335,False
key_5,0.20756163324607624,0.31089956963198834,0.6676163414821282,0.5043802440205041,0.6052562928246049,False,1.0,False
key_6,0.6562602379658979,0.32938819395733376,1.9923611410641648,0.04633447803947145,0.06541338076160676,False,1.0,False
key_7,-0.026009871155841812,0.28023505899238116,-0.0928144795635615,0.9260511552452999,0.9260511552452999,False,1.0,False
key_8,0.9825488193351197,0.3374047958870097,2.9120772179662677,0.003591224539408567,0.005745959263053707,True,0.0861893889458056,False
key_9,0.1031680466224699,0.2930567469873364,0.3520411923050794,0.7248081986724133,0.7563215986146922,False,1.0,False
key_10,0.13251052302841734,0.33386386630180764,0.39689986369662994,0.6914422504709077,0.7543006368773538,False,1.0,False
key_11,0.7638645749711438,0.3162879546416737,2.4150922087328137,0.015733216228876766,0.02359982434331515,False,0.3775971894930424,False
