,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
baseline,0,-5352281.304921711,4986452.769058707,0.0,0.6342496803933306,11097.783469753982,0.0,True,log
extended,1,-5556399.182259027,5189039.164487105,204117.87733731608,0.36575031960666937,11912.948401590049,3058.4768418820645,True,log
