feature_idx,feature_name,mu_beta,abs_mu_beta,hdi_lo,hdi_hi,sigma_beta
38,disney,-3.0770608964033843,3.0770608964033843,-7.726998779082442,1.8904691719166924,3.871412073204984
40,cantopop,-3.05392204764134,3.05392204764134,-8.134293785963813,1.4354030385573104,4.0047767578833575
28,afrobeat,-3.0281873748189105,3.0281873748189105,-7.599443334051151,1.4140787143375133,3.7546033126785576
32,j-idol,-3.0275229299842445,3.0275229299842445,-7.907448183610075,1.4068255695445917,3.901937225754179
41,black-metal,-3.027110901141366,3.027110901141366,-7.082647360435073,1.1055999852598486,2.7441346819573544
25,heavy-metal,-2.9781191123415045,2.9781191123415045,-7.400033257130165,1.803776539434686,4.094436675838494
23,club,-2.966463548600225,2.966463548600225,-7.5949662254825006,1.8078731275432003,4.361858165523206
21,malay,-2.8546814171649997,2.8546814171649997,-7.918613972112117,1.7677489978914644,5.104168935477589
27,detroit-techno,-2.8305069552869235,2.8305069552869235,-7.75551394334909,1.663409273373144,4.03875555450673
30,breakbeat,-2.8295903880271696,2.8295903880271696,-7.407603074931396,2.2419589887077955,5.023474736886121
24,bluegrass,-2.7305597045377423,2.7305597045377423,-7.3366703764504235,1.54546706106767,2.749059193423283
39,forro,-2.483104306052443,2.483104306052443,-5.937658826916875,1.4798351361084103,2.1261166555369515
26,chicago-house,-2.4552970179071743,2.4552970179071743,-6.339395940919729,1.7688988566490558,2.480774131441621
43,guitar,-2.3724246766098736,2.3724246766098736,-6.172082485754644,2.557277064022214,2.7627779299700665
9,explicit,1.8637379045357048,1.8637379045357048,0.8709238033209209,2.7534879817804936,4.208120105604914
31,drum-and-bass,-1.8380432139897496,1.8380432139897496,-5.442435554245196,2.021746737350631,2.0204420249895483
20,iranian,-1.778433676073558,1.778433676073558,-6.500483926933813,2.9166161599944007,2.629428526535784
35,romance,-1.5171256668906308,1.5171256668906308,-5.8266564615886125,3.2121863142056735,2.251638571280919
22,honky-tonk,-1.3683303144378984,1.3683303144378984,-5.738967685882191,3.135586811957937,2.253270914007535
19,grindcore,-1.3028818122489092,1.3028818122489092,-5.507664470934889,3.180027404298332,2.195033224352241
17,idm,-1.2676650689759954,1.2676650689759954,-5.552773102730009,3.443611612373062,2.1636088084679512
37,hardstyle,-1.2214917956170068,1.2214917956170068,-5.498995826387529,2.9898874656663796,2.1075082995255094
42,mandopop,1.1766960360761123,1.1766960360761123,-3.1978161471927553,5.697323853283808,2.0784716861310137
2,loudness,1.1524185450971303,1.1524185450971303,0.5171408260341745,1.8650242512020971,3.5019139594324096
1,energy,-1.1454655247546615,1.1454655247546615,-1.6352834158336538,-0.6069745923470072,2.501964693514103
16,tango,-1.0648276724906238,1.0648276724906238,-5.598170654275026,3.334282648096613,2.060384726705997
45,country,-1.0115880202226284,1.0115880202226284,-4.674107533511994,2.739907618924699,1.8039782040967476
29,spanish,0.9374497347778973,0.9374497347778973,-3.4626933248837277,4.98839646166888,1.9477194738352324
13,ts_3,-0.7926314767945809,0.7926314767945809,-1.2523784849981128,-0.28878440119885945,1.5094815195148066
7,valence,-0.5681322726971375,0.5681322726971375,-0.8687950755516736,-0.3000746662845014,1.4063864572092257
18,salsa,-0.4921038805064303,0.4921038805064303,-5.247393517235741,3.9579187642375717,1.9755292799736734
6,liveness,-0.48867108321821506,0.48867108321821506,-0.6533307485490325,-0.324942866590771,0.656389463577922
0,danceability,0.41445796191314377,0.41445796191314377,0.09860750694535592,0.7368770585267405,1.5600244750408572
12,mode_bin,-0.3866324716748909,0.3866324716748909,-0.6680126158420566,-0.06461969417097203,1.2675392464701785
3,speechiness,-0.3699184097394607,0.3699184097394607,-0.6621715110581649,-0.09000673387377539,1.2665697477274547
34,trip-hop,-0.36983155338883955,0.36983155338883955,-5.113328544106289,3.856599453341657,1.920899861736752
36,show-tunes,-0.32759903682144,0.32759903682144,-5.015746372781565,3.7986378195540027,1.9809181966697598
4,acousticness,-0.3115141171020606,0.3115141171020606,-0.7212574305287223,0.10449209587620949,1.9415163945016047
14,ts_5,-0.24832918000803883,0.24832918000803883,-1.0808467978901595,0.5573297765316421,0.9310069488725226
44,turkish,0.15068996861391068,0.15068996861391068,-4.3127372049170525,4.657512270855389,1.9586141894140254
10,key_sin,0.11178964976630473,0.11178964976630473,-0.0024177194350098407,0.22369863433602147,0.3283946263285535
5,instrumentalness,0.03982969801344963,0.03982969801344963,-0.40457669531978707,0.48140084144321715,2.036760320832566
33,world-music,-0.03724041491728843,0.03724041491728843,-4.724972761003361,4.4567116595069285,1.9749480143645215
8,tempo,-0.02379549152939248,0.02379549152939248,-0.141309011775674,0.10248442478102421,0.35729838581950973
11,key_cos,-0.013643964738490338,0.013643964738490338,-0.11666888663244936,0.0899399588245064,0.20596024403321514
15,ts_6,-0.010489102273047165,0.010489102273047165,-4.608734450076029,4.505728406887784,1.9595651350273455
